,item,loc,type,zipcode
116,Civil Rights Tours Atlanta,"33.755711,-84.3883717",museum,30303
117,MLK Freedom Hall Gift Shop,"33.755711,-84.3883717",museum,30303
118,Freedom Hall,"33.755711,-84.3883717",museum,30303
119,Herndon Home Museum,"33.7539971,-84.412014",museum,30314
120,Spelman College Museum,"33.7539971,-84.412014",museum,30314
121,Push Creatives,"33.7539971,-84.412014",museum,30314
122,Omenala Griot Afrocentric Museum & Event Center,"33.7539971,-84.412014",museum,30314
123,CNN Atlanta,"33.7539971,-84.412014",museum,30314
124,The Limelight Gallery,"33.8524536,-84.3679295",museum,31119
125,Modera Prominence,"33.8524536,-84.3679295",museum,31119
126,Station lenox,"33.8524536,-84.3679295",museum,31119
127,Casino,"33.5097626,-117.7523604",museum,31131
128,Vinings Historic Preservation Society,"33.87,-84.4599999",museum,31139
129,Georgia State Capitol,"33.75,-84.39",museum,31195
130,Children's Museum of Atlanta,"33.75,-84.39",museum,31195
131,Apex Museum,"33.75,-84.39",museum,31195
132,College Football Hall of Fame,"33.75,-84.39",museum,31195
133,Purva Designs Inc.,"33.75,-84.39",museum,31195
134,Old Campbell County Historical Society,"33.75,-84.39",museum,31195
135,Center for Civil and Human Rights,"33.75,-84.39",museum,31195
136,DOGNY Project Monument,"33.75,-84.39",museum,31195
137,Atlanta Aquarium,"33.75,-84.39",museum,31195
138,Push Creatives,"33.75,-84.39",museum,31195
139,CNN Atlanta,"33.75,-84.39",museum,31195
140,Coke,"33.75,-84.39",museum,31195
141,Consulado Argentino en Atlanta,"33.75,-84.39",museum,31195
142,Centenial Park Atlanta,"33.75,-84.39",museum,31195
143,Madam CJ Walker's,"33.75,-84.39",museum,31195
144,Carnegie Monument,"33.75,-84.39",museum,31195
145,Sea Otters,"33.75,-84.39",museum,31195
146,Children's Museum of Atlanta,"33.7657549,-84.39493999999999",museum,30313
147,College Football Hall of Fame,"33.7657549,-84.39493999999999",museum,30313
148,Apex Museum,"33.7657549,-84.39493999999999",museum,30313
149,Center for Civil and Human Rights,"33.7657549,-84.39493999999999",museum,30313
150,Purva Designs Inc.,"33.7657549,-84.39493999999999",museum,30313
151,Old Campbell County Historical Society,"33.7657549,-84.39493999999999",museum,30313
152,Sea Otters,"33.7657549,-84.39493999999999",museum,30313
153,Centenial Park Atlanta,"33.7657549,-84.39493999999999",museum,30313
154,Carnegie Monument,"33.7657549,-84.39493999999999",museum,30313
155,Coke,"33.7657549,-84.39493999999999",museum,30313
156,CNN Atlanta,"33.7657549,-84.39493999999999",museum,30313
157,Georgia Rural Telephone Museum,"33.7657549,-84.39493999999999",museum,30313
158,Margaret Mitchell House,"33.7730242,-84.3864011",museum,30375
159,Children's Museum of Atlanta,"33.7730242,-84.3864011",museum,30375
160,Center for Civil and Human Rights,"33.7730242,-84.3864011",museum,30375
161,Purva Designs Inc.,"33.7730242,-84.3864011",museum,30375
162,Georgia Rural Telephone Museum,"33.7730242,-84.3864011",museum,30375
163,Carnegie Monument,"33.7730242,-84.3864011",museum,30375
164,Sea Otters,"33.7730242,-84.3864011",museum,30375
165,Coke,"33.7730242,-84.3864011",museum,30375
166,Centenial Park Atlanta,"33.7730242,-84.3864011",museum,30375
167,Margaret Mitchell House,"33.7717008,-84.3726049",museum,30308
168,Georgia Rural Telephone Museum,"33.7717008,-84.3726049",museum,30308
169,Fernbank Museum of Natural History,"33.7724417,-84.3279093",museum,30307
170,Fernbank Science Center,"33.7724417,-84.3279093",museum,30307
171,Fernbank Museum - WildWoods Exhibit,"33.7724417,-84.3279093",museum,30307
172,Jim Cherry Memorial Planetarium at Fernbank Science Center,"33.7724417,-84.3279093",museum,30307
173,Harmony,"33.7724417,-84.3279093",museum,30307
174,Science Reference Library,"33.7724417,-84.3279093",museum,30307
175,"Dr. Ralph L. Buice, Jr. Observatory","33.7724417,-84.3279093",museum,30307
176,Lee Stelzer Heritage Research,"33.7724417,-84.3279093",museum,30307
177,Margaret Mitchell House,"33.7700012,-84.3811458",museum,30332
178,Children's Museum of Atlanta,"33.7700012,-84.3811458",museum,30332
179,Purva Designs Inc.,"33.7700012,-84.3811458",museum,30332
180,Center for Civil and Human Rights,"33.7700012,-84.3811458",museum,30332
181,Georgia Rural Telephone Museum,"33.7700012,-84.3811458",museum,30332
182,Carnegie Monument,"33.7700012,-84.3811458",museum,30332
183,Coke,"33.7700012,-84.3811458",museum,30332
184,Sea Otters,"33.7700012,-84.3811458",museum,30332
185,Centenial Park Atlanta,"33.7700012,-84.3811458",museum,30332
186,High Museum of Art,"33.7877341,-84.38081729999999",museum,30361
187,Margaret Mitchell House,"33.7877341,-84.38081729999999",museum,30361
188,Center For Puppetry Arts,"33.7877341,-84.38081729999999",museum,30361
189,Rhodes Hall,"33.7877341,-84.38081729999999",museum,30361
190,Bodies The Exhibition,"33.7877341,-84.38081729999999",museum,30361
191,Museum of Design Atlanta (MODA),"33.7877341,-84.38081729999999",museum,30361
192,William Breman Jewish Heritage Museum,"33.7877341,-84.38081729999999",museum,30361
193,ACA Sculpture Studio of SCAD,"33.7877341,-84.38081729999999",museum,30361
194,SCAD FASH Museum of Fashion + Film,"33.7877341,-84.38081729999999",museum,30361
195,Botanical Gardens Parking,"33.7877341,-84.38081729999999",museum,30361
196,Harmony,"33.7845409,-84.3489467",museum,30306
197,Maiellaro Industries LLC,"33.8373615,-84.4201604",museum,30325
198,High Museum of Art,"33.7841361,-84.3877426",museum,30357
199,Bodies The Exhibition,"33.7841361,-84.3877426",museum,30357
200,Margaret Mitchell House,"33.7841361,-84.3877426",museum,30357
201,Center For Puppetry Arts,"33.7841361,-84.3877426",museum,30357
202,Rhodes Hall,"33.7841361,-84.3877426",museum,30357
203,Museum of Design Atlanta (MODA),"33.7841361,-84.3877426",museum,30357
204,William Breman Jewish Heritage Museum,"33.7841361,-84.3877426",museum,30357
205,Millennium Gate Museum,"33.7841361,-84.3877426",museum,30357
206,Renewable Bioproducts Institute (Georgia Tech),"33.7841361,-84.3877426",museum,30357
207,ACA Sculpture Studio of SCAD,"33.7841361,-84.3877426",museum,30357
208,Robert C. Williams Paper Museum,"33.7841361,-84.3877426",museum,30357
209,SCAD FASH Museum of Fashion + Film,"33.7841361,-84.3877426",museum,30357
210,Georgia Rural Telephone Museum,"33.7841361,-84.3877426",museum,30357
211,Botanical Gardens Parking,"33.7841361,-84.3877426",museum,30357
212,David J. Sencer CDC Museum,"33.8053664,-84.3367294",museum,30333
213,High Museum of Art,"33.7910495,-84.400194",museum,30363
214,Bodies The Exhibition,"33.7910495,-84.400194",museum,30363
215,Center For Puppetry Arts,"33.7910495,-84.400194",museum,30363
216,Rhodes Hall,"33.7910495,-84.400194",museum,30363
217,William Breman Jewish Heritage Museum,"33.7910495,-84.400194",museum,30363
218,Museum of Design Atlanta (MODA),"33.7910495,-84.400194",museum,30363
219,Renewable Bioproducts Institute (Georgia Tech),"33.7910495,-84.400194",museum,30363
220,Millennium Gate Museum,"33.7910495,-84.400194",museum,30363
221,Robert C. Williams Paper Museum,"33.7910495,-84.400194",museum,30363
222,"Lansdell Galleries, Ruth Barrett@Lansdell galleries","33.7910495,-84.400194",museum,30363
223,SCAD FASH Museum of Fashion + Film,"33.7910495,-84.400194",museum,30363
224,ACA Sculpture Studio of SCAD,"33.7910495,-84.400194",museum,30363
225,Michael C. Carlos Museum,"33.7980995,-84.3259367",museum,30322
226,David J. Sencer CDC Museum,"33.7980995,-84.3259367",museum,30322
227,High Museum of Art,"33.7971137,-84.3804888",museum,30309
228,Center For Puppetry Arts,"33.7971137,-84.3804888",museum,30309
229,Rhodes Hall,"33.7971137,-84.3804888",museum,30309
230,Bodies The Exhibition,"33.7971137,-84.3804888",museum,30309
231,Museum of Design Atlanta (MODA),"33.7971137,-84.3804888",museum,30309
232,William Breman Jewish Heritage Museum,"33.7971137,-84.3804888",museum,30309
233,ACA Sculpture Studio of SCAD,"33.7971137,-84.3804888",museum,30309
234,Southeastern Museum Conference,"33.7971137,-84.3804888",museum,30309
235,SCAD FASH Museum of Fashion + Film,"33.7971137,-84.3804888",museum,30309
236,Botanical Gardens Parking,"33.7971137,-84.3804888",museum,30309
